Element	Structure	Energy (eV/atom)	a (A)	b (A)	c (A)	MagInit
H	dia	-1.24885E+01	3.75	3.75	3.75	0.01
He	sc	-7.87257E+01	3.57	3.57	3.57	0.01
Li	bcc	-2.02788E+02	3.49	3.49	3.49	0.01
Be	hcp	-8.90361E+01	2.29	2.29	3.74	0.01
B	dia	-1.49219E+02	5.06	5.06	5.06	0.01
C	dia	-2.41719E+02	3.57	3.57	3.57	0.01
N	dia	-3.75625E+02	3.50	3.50	3.50	0.01
O	sc	-5.59977E+02	3.43	3.43	3.43	0.01
F	sc	-8.03785E+02	3.00	3.00	3.00	0.01
Ne	sc	-1.11603E+03	4.43	4.43	4.43	0.01
Na	bcc	-1.48516E+03	4.23	4.23	4.23	0.01
Mg	hcp	-1.92237E+03	3.21	3.21	5.24	0.01
Al	fcc	-5.33724E+02	4.05	4.05	4.05	0.01
Si	dia	-6.30343E+02	5.43	5.43	5.43	0.01
P	sc	-7.50254E+02	3.34	3.34	3.34	0.01
S	sc	-8.97876E+02	3.60	3.60	3.60	0.01
Cl	sc	-1.07757E+03	3.60	3.60	3.60	0.01
Ar	sc	-1.29368E+03	5.26	5.26	5.26	0.01
K	bcc	-1.53659E+03	5.23	5.23	5.23	0.01
Ca	fcc	-1.81476E+03	5.58	5.58	5.58	0.01
Sc	hcp	-2.13102E+03	3.31	3.31	5.41	0.40
Ti	hcp	-2.49269E+03	2.95	2.95	4.82	0.40
V	bcc	-2.90370E+03	3.03	3.03	3.03	-0.40
Cr	bcc	-3.36789E+03	2.88	2.88	2.88	-0.40
Mn	bcc	-3.88904E+03	2.97	2.97	2.97	-0.40
Fe	bcc	-4.47094E+03	2.87	2.87	2.87	0.60
Co	hcp	-5.11737E+03	2.51	2.51	4.10	0.60
Ni	fcc	-5.83206E+03	3.52	3.52	3.52	0.60
Cu	fcc	-2.89504E+03	3.61	3.61	3.61	0.01
Zn	hcp	-3.31198E+03	2.66	2.66	4.34	0.01
Ga	dia	-3.77853E+03	4.51	4.51	4.51	0.01
Ge	dia	-4.28873E+03	5.66	5.66	5.66	0.01
As	sc	-2.38985E+03	5.72	5.72	5.72	0.01
Se	sc	-5.46352E+03	5.72	5.72	5.72	0.01
Br	sc	-6.13308E+03	5.72	5.72	5.72	0.01
Kr	sc	-6.86075E+03	5.72	5.72	5.72	0.01
Rb	bcc	-3.26340E+03	5.59	5.59	5.59	0.01
Sr	fcc	-3.53929E+03	6.08	6.08	6.08	0.01
Y	hcp	-3.84046E+03	3.65	3.65	5.73	0.01
Zr	hcp	-4.17260E+03	3.23	3.23	5.15	0.01
Nb	bcc	-4.53836E+03	3.30	3.30	3.30	0.01
Mo	bcc	-4.94028E+03	3.15	3.15	3.15	0.01
Tc	hcp	-5.38081E+03	2.74	2.74	4.39	0.01
Ru	hcp	-5.86238E+03	2.71	2.71	4.28	0.01
Rh	fcc	-6.38737E+03	3.80	3.80	3.80	0.01
Pd	fcc	-4.49936E+03	3.89	3.89	3.89	0.01
Ag	fcc	-4.82978E+03	4.09	4.09	4.09	0.01
Cd	hcp	-5.18841E+03	2.98	2.98	5.62	0.01
In	hcp	-5.58636E+03	3.46	3.46	5.65	0.01
Sn	dia	-6.01081E+03	6.49	6.49	6.49	0.01
Sb	sc	-4.72612E+03	6.20	6.20	6.20	0.01
Te	sc	-4.93044E+03	6.20	6.20	6.20	0.01
I	sc	-5.15392E+03	6.20	6.20	6.20	0.01
Xe	sc	-8.07335E+03	6.20	6.20	6.20	0.01
Cs	bcc	-5.65592E+03	6.05	6.05	6.05	0.01
Ba	bcc	-5.93272E+03	5.02	5.02	5.02	0.01
La	dhcp	-6.22858E+03	3.75	3.75	12.25	0.01
Ce	fcc	-6.41250E+03	5.16	5.16	5.16	0.01
Pr	dhcp	-6.59869E+03	3.67	3.67	11.99	0.01
Nd	dhcp	-6.78753E+03	3.66	3.66	11.95	0.01
Pm	dhcp	-6.97922E+03	3.64	3.64	11.89	0.01
Sm	dhcp	-7.17393E+03	3.62	3.62	11.82	0.01
Eu	bcc	-7.37175E+03	4.61	4.61	4.61	0.01
Gd	hcp	-7.57276E+03	3.63	3.63	5.93	0.50
Tb	hcp	-7.77705E+03	3.60	3.60	5.88	0.50
Dy	hcp	-7.98467E+03	3.59	3.59	5.86	0.50
Ho	hcp	-8.19569E+03	3.58	3.58	5.85	0.50
Er	hcp	-8.41016E+03	3.56	3.56	5.81	0.50
Tm	hcp	-8.62814E+03	3.54	3.54	5.78	0.50
Yb	fcc	-8.71594E+03	5.49	5.49	5.49	0.01
Lu	hcp	-9.07483E+03	3.51	3.51	5.73	0.01
Hf	hcp	-9.46529E+03	3.20	3.20	5.05	0.01
Ta	bcc	-1.67148E+04	3.30	3.30	3.30	0.01
W	bcc	-1.03325E+04	3.17	3.17	3.17	0.01
Re	hcp	-1.08137E+04	2.76	2.76	4.46	0.01
Os	hcp	-1.13287E+04	2.73	2.73	4.32	0.01
Ir	fcc	-9.80802E+03	3.84	3.84	3.84	0.01
Pt	fcc	-1.01615E+04	3.92	3.92	3.92	0.01
Au	fcc	-1.05432E+04	4.08	4.08	4.08	0.01
Hg	hcp	-1.09522E+04	3.00	3.00	3.00	0.01
Tl	hcp	-1.13828E+04	3.46	3.46	5.65	0.01
Pb	fcc	-1.18411E+04	4.95	4.95	4.95	0.01
Bi	sc	-1.23281E+04	6.20	6.20	6.20	0.01
Po	sc	-1.28452E+04	3.36	3.36	3.36	0.01
At	sc	-1.33935E+04	3.36	3.36	3.36	0.01
Rn	sc	-1.39744E+04	6.40	6.40	6.40	0.01
Fr	bcc	-1.45800E+04	6.05	6.05	6.05	0.01
Ra	bcc	-1.52161E+04	6.05	6.05	6.05	0.01
Ac	fcc	-1.27548E+04	6.05	6.05	6.05	0.01
Th	fcc	-1.31371E+04	5.08	5.08	5.08	0.01
Pa	fcc	-1.35467E+04	5.08	5.08	5.08	0.01
U	fcc	-1.39847E+04	5.08	5.08	5.08	0.01
Np	fcc	-1.44540E+04	5.08	5.08	5.08	0.01
Pu	fcc	-1.49563E+04	5.08	5.08	5.08	0.01
