Element Structure Energy (eV/atom) a (A)  b (A)   c (A)
H	hcp	-10.9235	3.900	3.900	6.356
He	fcc	-44.2420	4.430	4.430	4.430
Li	bcc	-7.2717	3.427	3.427	3.427
Be	hcp	-19.0831	2.260	2.260	3.570
B	hcp	-32.6008	2.876	2.876	1.782
C	hcp	-47.2800	2.154	2.154	3.524
N	hcp	-78.7840	2.519	2.519	2.446
O	sc	-118.3430	3.430	3.430	3.430
F	sc	-135.9244	3.000	3.000	3.000
Ne	sc	-171.9488	4.430	4.430	4.430
Na	bcc	-4.7266	4.173	4.173	4.173
Mg	hcp	-19.9423	3.203	3.203	5.127
Al	fcc	-29.2739	4.039	4.039	4.039
Si	dia	-44.1271	5.430	5.430	5.430
P	bcc	-65.8907	3.076	3.076	3.076
S	hcp	-96.1187	3.365	3.365	3.516
Cl	sc	-113.3230	3.600	3.600	3.600
Ar	fcc	-167.2683	5.260	5.260	5.260
K	bcc	-5.8648	4.758	4.758	7.587
Ca	fcc	-15.9603	5.507	5.507	5.507
Sc	hcp	-26.4391	3.319	3.319	5.178
Ti	hcp	-31.1320	2.934	2.934	4.657
V	bcc	-38.0335	2.993	2.993	2.993
Cr	bcc	-44.0676	3.621	3.621	3.621
Mn	bcc	-55.5731	2.799	2.799	2.799
Fe	bcc	-77.3985	2.840	2.840	2.840
Co	hcp	-92.5618	2.501	2.501	4.033
Ni	fcc	-108.2563	3.506	3.506	3.506
Cu	fcc	-119.4824	3.621	3.621	3.621
Zn	hcp	-22.5271	2.627	2.627	5.207
Ga	dia	-31.4063	4.510	4.510	4.510
Ge	dia	-41.1884	5.660	5.660	5.660
As	bcc	-59.8488	3.368	3.368	3.368
Se	hcp	-87.5960	3.666	3.666	3.846
Br	bcc	-103.8449	3.761	3.761	3.761
Kr	fcc	-131.7610	5.720	5.720	5.720
Rb	bcc	-7.7213	5.644	5.644	5.644
Sr	fcc	-13.6835	6.023	6.023	6.023
Y	hcp	-23.2297	3.659	3.659	5.666
Zr	hcp	-27.0804	3.239	3.239	5.172
Nb	bcc	-46.2578	3.321	3.321	3.321
Mo	bcc	-48.1867	3.168	3.168	3.168
Tc	hcp	-60.1505	2.761	2.761	4.421
Ru	hcp	-87.4418	2.733	2.733	4.314
Rh	fcc	-106.4611	3.844	3.844	3.844
Pd	fcc	-119.9180	3.957	3.957	3.957
Ag	fcc	-102.4070	4.161	4.161	4.161
Cd	hcp	-24.1988	3.008	3.008	5.942
In 	hcp	-38.4250	3.423	3.423	5.576
Sn	bcc	-63.6103	3.809	3.809	3.809
Sb	bcc	-63.9095	3.785	3.785	3.785
Te	hcp	-99.9042	4.088	4.088	4.362
I	fcc	-105.6877	5.195	5.195	5.195
Xe	fcc	-115.1642	6.200	6.200	6.200
Cs	bcc	-6.5755	6.110	6.110	6.110
Ba	bcc	-12.9114	5.030	5.030	5.030
La	hcp	-18.8763	3.753	3.753	7.352
Ce	fcc	-17.5834	4.720	4.720	4.720
Pr	dhcp	-17.4915	3.670	3.670	11.990
Nd	dhcp	-17.3955	3.660	3.660	11.950
Pm	dhcp	-17.2998	3.640	3.640	11.890
Sm	dhcp	-17.2041	3.620	3.620	11.820
Eu	bcc	-17.1085	4.639	4.639	4.639
Gd	hcp	-17.0115	3.614	3.614	5.770
Tb	hcp	-16.9170	3.640	3.640	5.664
Dy	hcp	-16.8212	3.627	3.627	5.616
Ho	hcp	-16.7258	3.609	3.609	5.578
Er	hcp	-16.6302	3.587	3.587	5.546
Tm	hcp	-16.5346	3.563	3.563	5.513
Yb	fcc	-16.4391	5.449	5.449	5.449
Lu	hcp	-16.3428	3.525	3.525	5.471
Hf	hcp	-20.5437	3.198	3.198	5.075
Ta	bcc	-45.9093	3.322	3.322	3.322
W	bcc	-53.9863	3.187	3.187	3.187
Re	hcp	-54.4569	2.781	2.781	4.497
Os	hcp	-85.7296	2.759	2.759	4.357
Ir	fcc	-107.5288	3.876	3.876	3.876
Pt	fcc	-115.6208	3.977	3.977	3.977
Au	fcc	-106.1770	4.171	4.171	4.171
Hg	hcp	-24.9055	3.580	3.580	5.735
Tl	hcp	-30.2585	3.549	3.549	5.738
Pb	fcc	-40.6905	5.051	5.051	5.051
Bi	bcc	-56.6073	3.988	3.988	3.988
Po	sc	-83.3755	3.360	3.360	3.360
At	sc	-93.6602	3.360	3.360	3.360
Rn	sc	-98.1832	6.400	6.400	6.400
